blockSize,blockCount,numThreads,cached,run,MBspeed,Bspeed,seconds
512,4194304,16,0,1,266.48,279424307.91,7.69
512,4194304,16,0,2,254.63,267000163.59,8.04
512,4194304,16,0,3,292.71,306932902.88,7.00
512,4194304,16,0,4,252.47,264735681.65,8.11
1024,2097152,16,0,0,236.37,247852110.68,8.66
1024,2097152,16,0,1,252.31,264569475.05,8.12
1024,2097152,16,0,2,259.29,271887509.42,7.90
1024,2097152,16,0,3,265.54,278443088.23,7.71
1024,2097152,16,0,4,278.21,291729042.89,7.36
2048,1048576,16,0,0,249.51,261631563.48,8.21
2048,1048576,16,0,1,284.58,298407593.38,7.20
2048,1048576,16,0,2,261.68,274390906.63,7.83
2048,1048576,16,0,3,306.76,321664354.43,6.68
2048,1048576,16,0,4,256.95,269431337.01,7.97
4096,524288,16,0,0,248.75,260831281.19,8.23
4096,524288,16,0,1,254.50,266867239.46,8.05
4096,524288,16,0,2,252.39,264652451.17,8.11
4096,524288,16,0,3,268.70,281756072.42,7.62
4096,524288,16,0,4,247.93,259970996.42,8.26
8192,262144,16,0,0,248.25,260308781.60,8.25
8192,262144,16,0,1,252.40,264660375.25,8.11
8192,262144,16,0,2,256.58,269045511.29,7.98
8192,262144,16,0,3,247.96,260005464.26,8.26
8192,262144,16,0,4,238.21,249785155.54,8.60
16384,131072,16,0,0,249.39,261505266.00,8.21
16384,131072,16,0,1,263.13,275907516.53,7.78
16384,131072,16,0,2,254.78,267160460.78,8.04
16384,131072,16,0,3,261.43,274129330.08,7.83
16384,131072,16,0,4,248.92,261007638.59,8.23
32768,65536,16,0,0,254.37,266724447.93,8.05
32768,65536,16,0,1,267.20,280180777.92,7.66
32768,65536,16,0,2,275.23,288603066.61,7.44
32768,65536,16,0,3,271.41,284594524.01,7.55
32768,65536,16,0,4,259.83,272454394.84,7.88
65536,32768,16,0,0,241.72,253459903.13,8.47
65536,32768,16,0,1,286.02,299916864.72,7.16
65536,32768,16,0,2,264.75,277608831.30,7.74
65536,32768,16,0,3,235.89,247348524.89,8.68
65536,32768,16,0,4,241.95,253698252.69,8.46
131072,16384,16,0,0,250.77,262949571.34,8.17
131072,16384,16,0,1,265.38,278271119.57,7.72
131072,16384,16,0,2,248.70,260781485.06,8.23
131072,16384,16,0,3,253.12,265410672.30,8.09
131072,16384,16,0,4,257.71,270232461.82,7.95
262144,8192,16,0,0,318.46,333928681.90,6.43
262144,8192,16,0,1,265.66,278568885.16,7.71
262144,8192,16,0,2,264.76,277618089.32,7.74
262144,8192,16,0,3,263.88,276700466.92,7.76
262144,8192,16,0,4,276.98,290430407.40,7.39
64,33554432,32,0,0,206.04,216047414.12,9.94
64,33554432,32,0,1,207.20,217262459.37,9.88
64,33554432,32,0,2,216.60,227126483.72,9.46
64,33554432,32,0,3,206.65,216686499.00,9.91
64,33554432,32,0,4,204.10,214015722.78,10.03
128,16777216,32,0,0,236.83,248329403.58,8.65
128,16777216,32,0,1,281.63,295308645.62,7.27
128,16777216,32,0,2,244.61,256495643.49,8.37
128,16777216,32,0,3,265.34,278232730.70,7.72
128,16777216,32,0,4,247.32,259338073.28,8.28
256,4194304,32,0,0,245.51,257433150.02,4.17
256,4194304,32,0,1,328.80,344773361.97,3.11
256,4194304,32,0,2,258.58,271136850.57,3.96
256,4194304,32,0,3,254.27,266624018.86,4.03
256,4194304,32,0,4,259.25,271840195.63,3.95
512,4194304,32,0,0,280.74,294379401.35,7.29
512,4194304,32,0,1,278.22,291732954.68,7.36
512,4194304,32,0,2,247.48,259499369.88,8.28
512,4194304,32,0,3,238.01,249575126.37,8.60
512,4194304,32,0,4,248.44,260503267.03,8.24
1024,2097152,32,0,0,292.15,306342074.42,7.01
1024,2097152,32,0,1,246.48,258452096.28,8.31
1024,2097152,32,0,2,269.73,282827413.21,7.59
1024,2097152,32,0,3,257.45,269952792.57,7.96
1024,2097152,32,0,4,254.55,266914838.97,8.05
2048,1048576,32,0,0,243.66,255493985.00,8.41
2048,1048576,32,0,1,236.54,248033926.58,8.66
2048,1048576,32,0,2,259.12,271704368.74,7.90
2048,1048576,32,0,3,275.14,288501955.74,7.44
2048,1048576,32,0,4,253.40,265713217.40,8.08
4096,524288,32,0,0,239.22,250835869.13,8.56
4096,524288,32,0,1,232.33,243614905.98,8.82
4096,524288,32,0,2,257.68,270192554.65,7.95
4096,524288,32,0,3,283.70,297480525.97,7.22
4096,524288,32,0,4,259.27,271866443.48,7.90
8192,262144,32,0,0,217.73,228311559.80,9.41
8192,262144,32,0,1,232.46,243752746.24,8.81
8192,262144,32,0,2,270.41,283542872.60,7.57
8192,262144,32,0,3,234.06,245428361.10,8.75
8192,262144,32,0,4,262.76,275522510.89,7.79
16384,131072,32,0,0,262.81,275578349.27,7.79
16384,131072,32,0,1,254.49,266848636.05,8.05
16384,131072,32,0,2,282.63,296361814.09,7.25
16384,131072,32,0,3,288.83,302855139.38,7.09
16384,131072,32,0,4,223.37,234219836.49,9.17
32768,65536,32,0,0,244.43,256304132.76,8.38
